District
Simraungadh
Mahottari
Kanchanpur
Siraha
Gorkha
Phidim
Chaudandigadhi
Ilam
Shuklagandaki
Sarlahi
Dhangadimai
Rupakot Majhuwagadhi
Shuklaphanta
Mahottari
Paunauti
Rautahat
Sarlahi
Bagmati
Madhuwan
Sabaila
Bhanu
Saptari
Dhanushadham
Manthali
Saptari
Melamchi
Balara

Putalibazar
Saptari
Bardiya
Surunga
Hariwan
Gurbhakot
Arghakhanchi
Saptari
Kolhabi

Rautahat
Devchuli
Belaka
Balawa
Sarlahi
Chitwan
Thaha
Dullu
Rautahat
Bheriganga
Sandhikharka
Rautahat
Gadhimai
Sarlahi
Kankai
Nuwakot
Bahudarmai
Parbat
Loharpatti
Besisahar
Mahakali
Purchaudi
Pyuthan
Rautahat
Palungtar
Parsa
Shambhunath
Panchkhal
Madi
Siraha
Rautahat
Sarlahi
Galyang
Dhankuta
Rautahat
Rautahat
Bangad Kupinde
Haripurwa
Rampur
Chhedagad
Saptari
Dadeldhura
Nagarain
Dasharathchand
Nijgadh
Rautahat
Gaur
Bara
Bagchaur
Sanphebagar
Salyan
Karnali
Bheri
Myagdi
Bungal
Galkot
Dipayal Silgadhi
Musikot
Deumai
Pokhariya
Musikot
Rolpa
Kavrepalanchok
Arghakhanchi
Mai
Resunga
Mangalsen
Panchapuri
Dhulikhel
Rautahat
Morang
Shikhar
Mahottari
Shadanand
Bhimeshwar
Baglung
Bhimad
Rautahat
Khandbari
Dhading
Mahottari
Siraha
Swargadwari
Patan
Lekbeshi
Mahottari
Halesi Tuwachung
Kavrepalanchok
Aathabis
Ramechhap
Siddhicharan
Panchadewal Binayak
Chaurjahari
Sankhuwasabha
Bhojpur
Narayan
Sundarbazar
Barhabise
Rautahat
Taplejung
Dhorpatan
Chamunda Bindrasaini
Chapakot
Nalgad
Syangja
Shankharapur
